E	alpha	r1	L	H	gamma
eV	deg	mm	mm	mm	deg
329	88.1	1457.252	13255.129	1753.073	30.282
329	88.2	1377.997	12968.053	1701.522	28.249
329	88.3	1298.929	12687.468	1651.638	26.565
329	88.4	1220.063	12413.028	1603.333	25.146
330	87.8	1697.869	14146.601	1914.543	39.957
330	87.9	1618.061	13838.031	1857.534	35.858
330	88.0	1538.389	13537.154	1802.489	32.706
330	88.1	1458.872	13243.527	1749.298	30.211
330	88.2	1379.526	12956.747	1697.861	28.188
330	88.3	1300.366	12676.438	1648.085	26.511
330	88.4	1221.411	12402.256	1599.883	25.098
331	87.8	1699.761	14134.032	1910.416	39.831
331	87.9	1619.860	13825.823	1853.538	35.757
331	88.0	1540.097	13525.282	1798.617	32.623
331	88.1	1460.488	13231.971	1745.544	30.141
331	88.2	1381.051	12945.484	1694.219	28.127
331	88.3	1301.800	12665.451	1644.550	26.458
331	88.4	1222.754	12391.526	1596.451	25.050
332	87.8	1701.649	14121.512	1906.310	39.705
332	87.9	1621.656	13813.662	1849.562	35.657
332	88.0	1541.801	13513.457	1794.764	32.540
332	88.1	1462.100	13220.459	1741.809	30.071
332	88.2	1382.572	12934.266	1690.597	28.067
332	88.3	1303.231	12654.507	1641.035	26.405
332	88.4	1224.095	12380.839	1593.037	25.002
333	87.8	1703.533	14109.040	1902.226	39.581
333	87.9	1623.447	13801.548	1845.607	35.558
333	88.0	1543.500	13501.678	1790.933	32.458
333	88.1	1463.709	13208.992	1738.095	30.002
333	88.2	1384.089	12923.092	1686.994	28.007
333	88.3	1304.658	12643.606	1637.538	26.352
333	88.4	1225.432	12370.194	1589.642	24.955
334	87.8	1705.411	14096.616	1898.163	39.457
334	87.9	1625.234	13789.481	1841.673	35.459
334	88.0	1545.196	13489.944	1787.121	32.377
334	88.1	1465.313	13197.570	1734.399	29.933
334	88.2	1385.603	12911.961	1683.409	27.947
334	88.3	1306.082	12632.748	1634.059	26.299
334	88.4	1226.767	12359.591	1586.264	24.908
335	87.8	1707.286	14084.240	1894.121	39.334
335	87.9	1627.016	13777.460	1837.759	35.361
335	88.0	1546.887	13478.255	1783.329	32.296
335	88.1	1466.913	13186.192	1730.723	29.864
335	88.2	1387.113	12900.873	1679.844	27.888
335	88.3	1307.502	12621.932	1630.599	26.247
335	88.4	1228.097	12349.029	1582.905	24.861
336	87.8	1709.155	14071.911	1890.100	39.212
336	87.9	1628.795	13765.486	1833.866	35.263
336	88.0	1548.574	13466.611	1779.557	32.216
336	88.1	1468.510	13174.858	1727.067	29.796
336	88.2	1388.619	12889.829	1676.297	27.829
336	88.3	1308.919	12611.158	1627.157	26.195
336	88.4	1229.425	12338.508	1579.563	24.815
337	87.8	1711.021	14059.629	1886.100	39.091
337	87.9	1630.569	13753.557	1829.993	35.167
337	88.0	1550.257	13455.012	1775.804	32.136
337	88.1	1470.103	13163.567	1723.429	29.729
337	88.2	1390.122	12878.827	1672.769	27.770
337	88.3	1310.332	12600.426	1623.733	26.144
337	88.4	1230.749	12328.029	1576.239	24.768
338	87.8	1712.881	14047.394	1882.121	38.971
338	87.9	1632.338	13741.673	1826.140	35.070
338	88.0	1551.936	13443.458	1772.071	32.056
338	88.1	1471.692	13152.320	1719.810	29.661
338	88.2	1391.621	12867.867	1669.259	27.712
338	88.3	1311.742	12589.735	1620.327	26.092
338	88.4	1232.071	12317.590	1572.932	24.722
339	87.8	1714.738	14035.205	1878.162	38.852
339	87.9	1634.104	13729.835	1822.306	34.975
339	88.0	1553.611	13431.948	1768.358	31.977
339	88.1	1473.277	13141.116	1716.211	29.594
339	88.2	1393.117	12856.950	1665.768	27.654
339	88.3	1313.148	12579.086	1616.939	26.041
339	88.4	1233.389	12307.191	1569.642	24.677
340	87.8	1716.590	14023.062	1874.223	38.733
340	87.9	1635.865	13718.042	1818.493	34.880
340	88.0	1555.282	13420.481	1764.663	31.899
340	88.1	1474.858	13129.955	1712.629	29.528
340	88.2	1394.609	12846.074	1662.294	27.596
340	88.3	1314.552	12568.477	1613.569	25.990
340	88.4	1234.704	12296.833	1566.370	24.631
341	87.8	1718.437	14010.965	1870.304	38.615
341	87.9	1637.623	13706.294	1814.699	34.785
341	88.0	1556.950	13409.058	1760.988	31.821
341	88.1	1476.435	13118.837	1709.066	29.462
341	88.2	1396.097	12835.240	1658.839	27.539
341	88.3	1315.951	12557.910	1610.216	25.940
341	88.4	1236.015	12286.514	1563.115	24.586
342	87.8	1720.281	13998.914	1866.406	38.498
342	87.9	1639.375	13694.590	1810.925	34.691
342	88.0	1558.613	13397.679	1757.331	31.743
342	88.1	1478.009	13107.761	1705.522	29.396
342	88.2	1397.582	12824.448	1655.401	27.482
342	88.3	1317.348	12547.383	1606.880	25.889
342	88.4	1237.324	12276.235	1559.876	24.541
343	87.8	1722.120	13986.908	1862.527	38.382
343	87.9	1641.124	13682.930	1807.169	34.598
343	88.0	1560.272	13386.343	1753.693	31.666
343	88.1	1479.579	13096.727	1701.996	29.331
343	88.2	1399.063	12813.697	1651.981	27.425
343	88.3	1318.741	12536.896	1603.561	25.839
343	88.4	1238.629	12265.996	1556.655	24.496
344	87.8	1723.954	13974.948	1858.668	38.266
344	87.9	1642.869	13671.314	1803.433	34.505
344	88.0	1561.927	13375.049	1750.074	31.590
344	88.1	1481.146	13085.735	1698.487	29.266
344	88.2	1400.541	12802.986	1648.579	27.369
344	88.3	1320.131	12526.449	1600.260	25.790
344	88.4	1239.932	12255.796	1553.450	24.451
345	87.8	1725.784	13963.032	1854.829	38.151
345	87.9	1644.610	13659.742	1799.716	34.413
345	88.0	1563.579	13363.798	1746.473	31.513
345	88.1	1482.708	13074.784	1694.997	29.201
345	88.2	1402.015	12792.317	1645.194	27.313
345	88.3	1321.517	12516.042	1596.975	25.740
345	88.4	1241.231	12245.635	1550.261	24.407
346	87.8	1727.610	13951.161	1851.009	38.037
346	87.9	1646.346	13648.213	1796.017	34.322
346	88.0	1565.226	13352.590	1742.890	31.438
346	88.1	1484.267	13063.875	1691.524	29.137
346	88.2	1403.486	12781.687	1641.826	27.257
346	88.3	1322.900	12505.675	1593.708	25.691
346	88.4	1242.527	12235.512	1547.089	24.363
347	87.8	1729.432	13939.334	1847.208	37.924
347	87.9	1648.079	13636.728	1792.338	34.231
347	88.0	1566.870	13341.423	1739.325	31.362
347	88.1	1485.822	13053.007	1688.069	29.073
347	88.2	1404.954	12771.098	1638.475	27.202
347	88.3	1324.280	12495.347	1590.457	25.642
347	88.4	1243.820	12225.428	1543.933	24.319
348	87.8	1731.250	13927.551	1843.426	37.811
348	87.9	1649.807	13625.285	1788.676	34.140
348	88.0	1568.510	13330.299	1735.779	31.288
348	88.1	1487.374	13042.180	1684.632	29.009
348	88.2	1406.418	12760.549	1635.142	27.147
348	88.3	1325.657	12485.058	1587.222	25.593
348	88.4	1245.110	12215.383	1540.793	24.275
349	87.8	1733.063	13915.812	1839.663	37.700
