strip	i0_corr	it_corr	lnI0It	i0_dark	it_dark	i0_raw	it_raw
344	21459591.00	23080084.00	-0.07280	1866245	1866532	23325836	24946616
345	21352418.00	22874995.00	-0.06888	1817267	1818210	23169685	24693205
346	21362694.00	22756702.00	-0.06321	1934239	1934045	23296933	24690747
347	21501861.00	22805321.00	-0.05885	1792460	1793591	23294321	24598912
348	21874361.00	23065717.00	-0.05303	1885040	1885770	23759401	24951487
349	21552368.00	22583695.00	-0.04674	1790786	1791974	23343154	24375669
350	21832324.00	22752584.00	-0.04129	1885758	1887195	23718082	24639779
351	21927046.00	22726937.00	-0.03583	1788028	1790287	23715074	24517224
352	22110377.00	22790856.00	-0.03031	1764693	1764766	23875070	24555622
353	21993899.00	22554223.00	-0.02516	1926094	1928073	23919993	24482296
354	22478751.00	22962404.00	-0.02129	1814545	1814458	24293296	24776862
355	22260993.00	22651098.00	-0.01737	1956239	1957864	24217232	24608962
356	22662100.00	22993597.00	-0.01452	1837494	1837779	24499594	24831376
357	22519363.00	22772897.00	-0.01120	1861843	1863058	24381206	24635955
358	22885760.00	23108718.00	-0.00970	1811429	1813543	24697189	24922261
359	22651162.00	22844148.00	-0.00848	1876605	1876928	24527767	24721076
360	22874158.00	23045915.00	-0.00748	1773583	1772933	24647741	24818848
361	22781605.00	22932067.00	-0.00658	1755827	1755858	24537432	24687925
362	23116350.00	23290709.00	-0.00751	1786045	1787909	24902395	25078618
363	22969431.00	23152043.00	-0.00792	1765089	1765762	24734520	24917805
364	23199479.00	23386719.00	-0.00804	1781187	1782581	24980666	25169300
365	23110971.00	23316532.00	-0.00886	1810741	1810696	24921712	25127228
366	23582128.00	23801761.00	-0.00927	1952699	1954289	25534827	25756050
367	23097590.00	23285671.00	-0.00811	1672681	1672965	24770271	24958636
368	23482647.00	23644742.00	-0.00688	1940870	1941860	25423517	25586602
369	23527038.00	23635569.00	-0.00460	1787110	1786701	25314148	25422270
370	23910419.00	23955053.00	-0.00186	1952404	1952400	25862823	25907453
371	23908288.00	23863635.00	0.00187	1750348	1749501	25658636	25613136
372	24137160.00	23970878.00	0.00691	1889473	1890106	26026633	25860984
373	24035661.00	23729280.00	0.01283	1723684	1723315	25759345	25452595
374	23925464.00	23417340.00	0.02147	1903855	1904897	25829319	25322237
375	23610323.00	22917250.00	0.02979	1786203	1785798	25396526	24703048
376	23830910.00	22913043.00	0.03928	1855343	1855610	25686253	24768653
